PageName,Post,Date,Shares,Likes,Comments,Haha,Love,Wow,Angry
Pakistan Motorways Police,Pak-China Car rally,20/10/2016,0,21,0,0,0,0,0
Pakistan Motorways Police,,09/10/2016,0,18,0,0,0,0,0
Pakistan Motorways Police,Traffic will be closed on Motorway from Sheikhupura interchange to Kalasha kaku on 22-09-16 from 0500 am to 0500 pm.,21/09/2016,2,16,1,0,0,0,0
Pakistan Motorways Police,From 02:00am to 04:00pm (21/09/16),20/09/2016,8,26,2,0,0,0,0
Pakistan Motorways Police,"Pakistan Army Zindabad
Pakistan Motorways Police Zindabad...
We are one Nation...",16/09/2016,8,16,0,0,0,0,0
Pakistan Motorways Police,,14/09/2016,1,32,0,0,1,0,0
Pakistan Motorways Police,"Eid Ul Adha Mubarak to all Muslims,

It is neither their Blood Nor their
Meat that reaches ALLAH, But it is Piety From You that reaches him.
(Surah Hajj 22:37)",13/09/2016,0,5,0,0,1,0,0
Pakistan Motorways Police,,01/09/2016,0,179,9,0,8,6,0
Pakistan Motorways Police,Happy Birthday to Admin,31/08/2016,0,13,0,0,3,0,0
Pakistan Motorways Police,,31/07/2016,0,41,1,0,1,0,0
Pakistan Motorways Police,Passing out parade of 5th probationer course.,31/07/2016,3,20,0,0,0,0,0
Pakistan Motorways Police,"ïºï»§ïºŽ ï»Ÿï» ï»ª ï»­ïºï»§ïºŽ ïºï»Ÿï»´ï»ª ïº­ïºïºŸï»Œï»®ï»¥ .... 

#Eidhi a legend & great asset of Pakistan, is no more with us. He refused to move abroad for his treatment as Dr. recommended him for his Kidney failure's treatment. He was real hero & always have sympathy for humanity despite of any sect or religion. His will was to donate his useful organs to the needy ones after his death.
#Legend
May ALLAH (S.W.T) Grant him highest rank in Jannah Aameen...",08/07/2016,0,12,0,0,0,0,0
Pakistan Motorways Police,"May ALLAH (S.W.T) accept Our Fast and Continues to Shower
His Blessings throughout the Year in fact throughout life,
Aameen...
Enjoy these amazing Days and remember those who Need Our help.

Wish you all a Very Happy Eid-ul-Fitar...!!! .",06/07/2016,0,4,0,0,0,0,0
Pakistan Motorways Police,Chaand Raat Mubarak to all.,05/07/2016,0,13,0,0,0,0,0
Pakistan Motorways Police,"On the special directive of Inspector General, NH&MP, Motorway Police South Zone has arranged special awareness camp at Ravi Toll Plaza, Motorway M-2.
SSP Masroor Alam Kolachi personally supervised the camp during which special gifts and road safety pamphlets and brochures printed were distributed among the commuters and motorists at all Ravi Toll Plaza, Lahore.
The Flowers and gift hampers were distributed with the aim to share the happiness of Eid and strengthen public and police relationship. The road users are requested to contacted Motorway Police personnel or NH&MP Helpline (130) for any complaint in this regard.",05/07/2016,0,7,0,0,0,0,0
Pakistan Motorways Police,,04/07/2016,4,62,0,0,1,0,0
Pakistan Motorways Police,,27/06/2016,1,9,0,0,0,0,0
Pakistan Motorways Police,,12/06/2016,3,16,0,0,0,0,0
Pakistan Motorways Police,,09/06/2016,0,13,0,0,0,0,0
Pakistan Motorways Police,,07/06/2016,19,53,0,0,1,0,0
Pakistan Motorways Police,"Start the Divine Season of Ramadan
with a heart filled with love and peace,
Wishing that ALLAH (S.W.T) Forgive Us for Our
Wrongdoings.
Let this Days of Ramadan be the Start
of Our repentance and enlightenment.
Have a blessed Ramadan..!!",06/06/2016,0,9,0,0,0,0,0
Pakistan Motorways Police,"Boxing legend Muhammad Ali, 'the greatest of all time,' died at 74! 

ALLAH (S.W.T) Gave him respect in this world and In-Shaa-ALLAH He will Give him honor in the next world too. Aameen...",04/06/2016,7,27,0,0,0,0,0
Pakistan Motorways Police,,01/06/2016,7,11,0,0,0,0,0
Pakistan Motorways Police,,31/05/2016,0,42,1,0,0,0,0
Pakistan Motorways Police,"Join Motorway Police as a Junior Patrol Officer.
Last Date of Submission Application forms is 16-06-2016.",29/05/2016,6,4,0,0,0,0,0
Pakistan Motorways Police,,18/05/2016,20,24,0,0,0,0,0
Pakistan Motorways Police,,14/05/2016,1,14,0,0,0,0,0
Pakistan Motorways Police,,10/05/2016,0,9,1,0,0,0,0
Pakistan Motorways Police,,03/05/2016,2,28,0,0,0,0,0
Pakistan Motorways Police,Be Safe...,13/04/2016,6,11,0,0,2,0,0
Pakistan Motorways Police,,10/03/2016,9,80,1,0,1,0,0
Pakistan Motorways Police,,26/01/2016,3,12,0,0,0,0,0
Pakistan Motorways Police,,09/01/2016,0,6,1,0,0,0,0
Pakistan Motorways Police,All Bikers Must Wear Helmet it's for your safety...,21/12/2015,9,21,0,0,0,0,0
Pakistan Motorways Police,Be Save...,17/12/2015,36,57,0,0,0,0,0
Pakistan Motorways Police,,17/12/2015,57,193,2,0,0,0,0
Pakistan Motorways Police,,17/12/2015,18,65,1,0,0,0,0
Pakistan Motorways Police,"Think Safe
Act Safe
Be Safe...",14/12/2015,3,26,0,0,0,0,0
Pakistan Motorways Police,,14/12/2015,3,154,2,0,0,0,0
Pakistan Motorways Police,Gift From People Of Japan.,14/12/2015,6,103,0,0,0,0,0
Pakistan Motorways Police,,07/12/2015,64,101,0,0,0,0,0
Pakistan Motorways Police,,01/12/2015,0,28,1,0,0,0,0
Pakistan Motorways Police,Happy Birthday to Motorway Police...,26/11/2015,2,80,0,0,0,0,0
Pakistan Motorways Police,,26/11/2015,5,56,0,0,0,0,0
Pakistan Motorways Police,"May Peace and Blessings Of Almighty ALLAH (S.W.T) be with you this year and always !!!
Happy New Islamic Year 1437 AH â€¦",14/10/2015,1,26,0,0,0,0,0
Pakistan Motorways Police,"Eid-ul-Adha is an EID Of Sacrifice;
& Commitment Of ALLAH's Orders.
May ALLAH (S.W.T) Bless Us with the Same in all Circles Of life...
Eid Mubarak...",24/09/2015,0,20,0,0,0,0,0
Pakistan Motorways Police,"May Allah Bless:
Your Days with happiness;
Your Weeks with prosperity;
Your Months with contentment;
And your years with love and peace!
Happy Eid-ul-Fitr to all Members...

From:
          Pakistan Motorways Police.",18/07/2015,0,12,0,0,0,0,0
Pakistan Motorways Police,"May this Ramadan Be Month Of Blessings,
A Month Full Of Forgivenesses
& Guidences For You and Your Families...
Aameen....
Ramadan Kareem Mubarik to all...",19/06/2015,0,17,0,0,0,0,0
Pakistan Motorways Police,,11/04/2015,22,359,2,0,0,0,0
Pakistan Motorways Police,,24/03/2015,8,80,0,0,0,0,0
Pakistan Motorways Police,"Happy New Islamic Year.
From: Pakistan Motorways Police.",25/10/2014,5,49,0,0,0,0,0
Pakistan Motorways Police,"Eid-ul-adha is eid of sacrifice, and commitment to ALLAH's orders, May ALLAH (S.W.T) Bless Us with the same in all circles of life,and help all amongst us, who are helpless,worried, and waiting for his rehmat, Aameen.

""Eid Mubarak From Pakistan Motorways Police""",06/10/2014,3,35,0,0,0,0,0
Pakistan Motorways Police,"http://www.nts.org.pk/Test&Products/Announced/NHMP_Oct2014/NHMP_Oct2014.php
Best Of Luck...",01/10/2014,24,64,6,0,0,0,0
Pakistan Motorways Police,"Happy Birthday to Admin Of this Page...
Happy Birthday to You...
Many Many Happy returns Of the Day & May You Have Many Many More...
Stay Blessed :)",31/08/2014,0,24,0,0,0,0,0
Pakistan Motorways Police,"The Wait is Over. Federal Public Service Commission announced Vacant vacancies Of Patrol Officer (BS-14)
For More Details Please Visit 
http://www.fpsc.gov.pk",10/08/2014,22,23,1,0,0,0,0
Pakistan Motorways Police,"Eid Mubarak :)
From:
Pakistan Motorway Police",29/07/2014,5,79,0,0,0,0,0
Pakistan Motorways Police,Chand raat Mubarak to all members...,28/07/2014,3,49,0,0,0,0,0
Pakistan Motorways Police,"Please Pray For Our Muslim Brothers & Sisters.
Your Pray is very Precious.
JAZAKALLAH...",14/07/2014,37,118,2,0,0,0,0
Pakistan Motorways Police,"May ALLAH (S.W.T) Grant him a place in Jannat-Ul-Firdos... Aameen
Please Pray for him JAZAKALLAH...",06/07/2014,3,37,0,0,0,0,0
Pakistan Motorways Police,"As the Crescent moon
is sighted..
and the holy month
of Ramadan beginsâ€¦
May Allah bless you
with happiness
and grace your home
with warmth and peace!

Ramadan Mubarak

From: Pakistan Motorway Police",29/06/2014,3,64,0,0,0,0,0
Pakistan Motorways Police,,22/06/2014,6,134,0,0,0,0,0
Pakistan Motorways Police,Traffic Sign Boards,22/06/2014,29,97,0,0,0,0,0
Pakistan Motorways Police,"A Father Means So Many thingsâ€¦
An Understanding Heart,
A Source Of Strength and Support right from the Very Start.

""Happy Fatherâ€™s Day""",15/06/2014,8,41,0,0,0,0,0
Pakistan Motorways Police,36K likes. Thanks for liking,12/06/2014,0,21,2,0,0,0,0
Pakistan Motorways Police,Coastal Highway (N-10) Balochistan,05/06/2014,36,383,4,0,0,0,0
Pakistan Motorways Police,"Shaheens, Tiger, Eagle and Falcon.",04/06/2014,55,657,2,0,0,0,0
Pakistan Motorways Police,Driving Skills and Driving Learning Course for People Of Gawadar.,04/06/2014,16,56,0,0,0,0,0
Pakistan Motorways Police,,02/06/2014,41,391,1,0,0,0,0
Pakistan Motorways Police,,19/04/2014,7,259,13,0,0,0,0
Pakistan Motorways Police,Happy Pakistan Day...,23/03/2014,8,69,0,0,0,0,0
Pakistan Motorways Police,,23/03/2014,33,126,12,0,0,0,0
Pakistan Motorways Police,400 Likes (Y),27/11/2013,0,23,0,0,0,0,0
Pakistan Motorways Police,,27/11/2013,85,209,4,0,0,0,0
Pakistan Motorways Police,,27/11/2013,30,87,0,0,0,0,0
Pakistan Motorways Police,"Wishing You & Your Familyâ€¦
New Year Full Of
Peace, Happiness and Abundance of allâ€¦
May ALLAH Bless You through Out the New Year â€¦",05/11/2013,2,29,0,0,0,0,0
Pakistan Motorways Police,300 Likes (Y),17/09/2013,0,16,0,0,0,0,0
Pakistan Motorways Police,150 Likes... Please tell your friends to like this Page...,17/08/2013,0,25,0,0,0,0,0
Pakistan Motorways Police,"Eid is an auspicious Occasion of Giving and
Sharing,
A time when whole atmosphere is filled with
Mirth.
Wishing You all & Your family a Very GLORIOUS DAY
of EÃ¬D...
From:
Pakistan Motorway Police",09/08/2013,1,29,0,0,0,0,0
Pakistan Motorways Police,"I.Gâ€™s Special efforts and initiatives to transform National Highways & Motorway Police
â€¢ Dozens of ill reputed officers suspended and removed.
â€¢ Culture of honesty and fairness is being promoted.
â€¢ Controversial projects are discontinued. 
â€¢ Very effective enforcement of laws to make the highways & motorway safe for the road users.
â€¢ Special patrolling is being carried out, where all senior officers including SSsP , DIsG and the I.G come out on road to check violation of traffic rules. 
Special Emphasis to enforce 
â€¢ Lane discipline
â€¢ Seat belt discipline
â€¢ Checking of over speeding.
â€¢ Checking of under-age driving.
â€¢ Checking of high beams and rear lights.
â€¢ Special focus to help the road users in a proactive manner.
Motivational Talks by IGP.
â€¢ Held Police Darbars at various places.
Abolition of VIP culture.
â€¢ The Inspector General has directed that no operational vehicle & operational force of NH&MP shall be used for pilot / escort duties.
Special Emphasis on courteous attitude towards citizens.

Special focus on welfare of the Force.",23/07/2013,11,102,3,0,0,0,0
Pakistan Motorways Police,"28th May 1998
Pakistan Had Conducted 6 Atomic tests
and Become the 1st Islamic Super Power
So Lets Be thankful
To ALLAH Almighty...

Happy Yom-e-Takbeer...",27/05/2013,51,162,0,0,0,0,0
Pakistan Motorways Police,"Asslam-O--Alaikum-Wa-Rehmatullah-e-Wa-Barakatu-Ho...
Dear Friends What you think About Pakistan Mtorways Police???
Comment Please...",17/03/2013,0,15,1,0,0,0,0
Pakistan Motorways Police,,23/11/2012,7,12,0,0,0,0,0
Pakistan Motorways Police,"May this Ramadan be Month of Blessings,
A Month Full of Forgivenesses
&
Guidences For You and Your Family!
Aamen...

Ramadan Kareem Mubarak...
""ALI""",21/07/2012,3,16,0,0,0,0,0
